"","N","Accession","PG","Gene_Symbol","Protein_Name"
"1",261,"IPI:IPI00894122.1",1,"APOB","Putative uncharacterized protein APOB"
"2",179,"IPI:IPI00022229.1",1,"APOB","Apolipoprotein B-100"
"3",5,"IPI:IPI00478003.2",2,"A2M","Alpha-2-macroglobulin"
"4",391,"IPI:IPI00922744.1",3,"C4B","Complement protein C4B frameshift mutant (Fragment)"
"5",299,"IPI:IPI00654875.1",3,"C4B","Complement C4-B"
"6",284,"IPI:IPI00032258.4",3,"C4A","Complement C4-A"
"7",283,"IPI:IPI00892547.1",3,"LOC100294156","Complement component 4A"
"8",249,"IPI:IPI00384419.4",3,"TDRD9","tudor domain containing 9"
"9",247,"IPI:IPI00418163.3",3,"C4B","complement component 4B preproprotein"
"10",245,"IPI:IPI00930091.1",3,"-","147 kDa protein"
"11",212,"IPI:IPI00887154.2",3,"C4B","Complement component 4B"
"12",177,"IPI:IPI00889723.2",3,"C4A","C4A protein"
"13",176,"IPI:IPI00892604.1",3,"C4B;C4A","Complement component C4B (Childo blood group) 2"
"14",154,"IPI:IPI00643525.1",3,"C4A","Putative uncharacterized protein C4A"
"15",146,"IPI:IPI00843913.3",3,"LOC100292046","Complement component 4A"
"16",0,"IPI:IPI00413613.4",3,"TDRD9","Isoform 2 of Putative ATP-dependent RNA helicase TDRD9"
"17",0,"IPI:IPI00935601.2",3,"LOC100293534","similar to complement component 4B (Childo blood group), partial"
"18",0,"IPI:IPI00937598.2",3,"LOC100294156","similar to C4A protein isoform 2"
"19",0,"IPI:IPI00943009.1",3,"TDRD9","103 kDa protein"
"20",362,"IPI:IPI00947307.1",4,"CP","cDNA FLJ58075, highly similar to Ceruloplasmin"
"21",10,"IPI:IPI00017601.1",4,"CP","Ceruloplasmin"
"22",0,"IPI:IPI00794184.1",4,"CP","cDNA FLJ37971 fis, clone CTONG2009958, highly similar to CERULOPLASMIN"
"23",0,"IPI:IPI00946417.1",4,"CP","Putative uncharacterized protein CP"
"24",9,"IPI:IPI00021885.1",5,"FGA","Isoform 1 of Fibrinogen alpha chain"
"25",6,"IPI:IPI00029717.1",5,"FGA","Isoform 2 of Fibrinogen alpha chain"
"26",12,"IPI:IPI00298497.3",6,"FGB","Fibrinogen beta chain"
"27",277,"IPI:IPI00845263.1",7,"FN1","fibronectin 1 isoform 2 preproprotein"
"28",251,"IPI:IPI00855777.1",7,"FN1","Isoform 14 of Fibronectin"
"29",250,"IPI:IPI00479723.4",7,"FN1","FN1 protein"
"30",193,"IPI:IPI00339224.2",7,"FN1","fibronectin 1 isoform 4 preproprotein"
